# Title:                 FLOW SERIES
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       
# missing values are indicated by -999.000
#
# file generation date:  2030-07-21
#
# GRDC-No.:              6343100
# River:                 Vanilla
# Station:               WATERCASTEL
# Country:               Dreamland
# Latitude (DD):       95.5543845
# Longitude (DD):      82.453464
# Catchment area (km2):      11983.0
# Altitude (m ASL):        629.51
# Next downstream station:      7777777
# 
# 
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m3/s
# Time series:           1826-11 - 2016-12
# No. of years:          191
# Last update:           2028-11-29
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 69458
# DATA
YYYY-MM-DD;hh:mm; Value
1847-06-20;--:--;474
1847-06-21;--:--;573
1847-06-22;--:--;1240
1847-06-23;--:--;947
1847-06-24;--:--;752
1847-06-25;--:--;685
1847-06-26;--:--;620
1847-06-27;--:--;591
1847-06-28;--:--;591
1847-06-29;--:--;584
1847-06-30;--:--;584
1847-07-01;--:--;591
1847-07-02;--:--;620
1847-07-03;--:--;490
1847-07-04;--:--;566
1847-07-05;--:--;591
1847-07-06;--:--;628
1847-07-07;--:--;701
1847-07-08;--:--;732
1847-07-09;--:--;821
1847-07-10;--:--;732
1847-07-11;--:--;685
1847-07-12;--:--;685
1847-07-13;--:--;701
1847-07-14;--:--;701
1847-07-15;--:--;701
1847-07-16;--:--;666
1847-07-17;--:--;673
1847-07-18;--:--;701
1847-07-19;--:--;760
1847-07-20;--:--;685
1847-07-21;--:--;666
1847-07-22;--:--;620
1847-07-23;--:--;693
1847-07-24;--:--;673
1847-07-25;--:--;701
1847-07-26;--:--;701
1847-07-27;--:--;701
1847-07-28;--:--;666
1847-07-29;--:--;673
1847-07-30;--:--;701
1847-07-31;--:--;620
1847-08-01;--:--;591
1847-08-02;--:--;609
1847-08-03;--:--;591
1847-08-04;--:--;666
1847-08-05;--:--;701
1847-08-06;--:--;635
1847-08-07;--:--;685
1847-08-08;--:--;591
1847-08-09;--:--;591
1847-08-10;--:--;591
1847-08-11;--:--;666
1847-08-12;--:--;591
1847-08-13;--:--;584
1847-08-14;--:--;566
1847-08-15;--:--;559
1847-08-16;--:--;591
1847-08-17;--:--;591
1847-08-18;--:--;584
1847-08-19;--:--;566
1847-08-20;--:--;541
1847-08-21;--:--;541
1847-08-22;--:--;531
1847-08-23;--:--;513
1847-08-24;--:--;490
1847-08-25;--:--;490
1847-08-26;--:--;513
1847-08-27;--:--;760
1847-08-28;--:--;647
1847-08-29;--:--;654
1847-08-30;--:--;654
1847-08-31;--:--;654
1847-09-01;--:--;566
1847-09-02;--:--;513
1847-09-03;--:--;490
1847-09-04;--:--;467
1847-09-05;--:--;429
1847-09-06;--:--;413
1847-09-07;--:--;398
1847-09-08;--:--;398
1847-09-09;--:--;398
1847-09-10;--:--;420
1847-09-11;--:--;404
1847-09-12;--:--;420
1847-09-13;--:--;467
1847-09-14;--:--;445
1847-09-15;--:--;467
1847-09-16;--:--;490
1847-09-17;--:--;420
1847-09-18;--:--;312
1847-09-19;--:--;291
1847-09-20;--:--;420
1847-09-21;--:--;398
1847-09-22;--:--;398
1847-09-23;--:--;398
1847-09-24;--:--;398
1847-09-25;--:--;398
1847-09-26;--:--;398
1847-09-27;--:--;398
1847-09-28;--:--;398
1847-09-29;--:--;377
1847-09-30;--:--;377
1847-10-01;--:--;239
1847-10-02;--:--;239
1847-10-03;--:--;239
1847-10-04;--:--;239
1847-10-05;--:--;249
1847-10-06;--:--;239
1847-10-07;--:--;239
1847-10-08;--:--;273
1847-10-09;--:--;256
1847-10-10;--:--;312
1847-10-11;--:--;312
1847-10-12;--:--;239
1847-10-13;--:--;239
1847-10-14;--:--;239
1847-10-15;--:--;239
1847-10-16;--:--;239
1847-10-17;--:--;239
1847-10-18;--:--;221
1847-10-19;--:--;206
1847-10-20;--:--;221
1847-10-21;--:--;239
1847-10-22;--:--;239
1847-10-23;--:--;228
1847-10-24;--:--;239
1847-10-25;--:--;239
1847-10-26;--:--;239
1847-10-27;--:--;239
1847-10-28;--:--;239
1847-10-29;--:--;239
1847-10-30;--:--;239
1847-10-31;--:--;238
1847-11-01;--:--;234
1847-11-02;--:--;222
1847-11-03;--:--;211
1847-11-04;--:--;158
1847-11-05;--:--;158
1847-11-06;--:--;158
1847-11-07;--:--;158
1847-11-08;--:--;158
1847-11-09;--:--;158
1847-11-10;--:--;158
1847-11-11;--:--;158
1847-11-12;--:--;158
1847-11-13;--:--;158
1847-11-14;--:--;158
1847-11-15;--:--;158
1847-11-16;--:--;158
1847-11-17;--:--;158
1847-11-18;--:--;158
1847-11-19;--:--;158
1847-11-20;--:--;158
1847-11-21;--:--;158
1847-11-22;--:--;158
1847-11-23;--:--;158
1847-11-24;--:--;158
1847-11-25;--:--;158
1847-11-26;--:--;146
1847-11-27;--:--;146
1847-11-28;--:--;146
1847-11-29;--:--;146
1847-11-30;--:--;146
1847-12-01;--:--;146
1847-12-02;--:--;146
1847-12-03;--:--;146
1847-12-04;--:--;146
1847-12-05;--:--;146
1847-12-06;--:--;146
1847-12-07;--:--;146
1847-12-08;--:--;146
1847-12-09;--:--;141
1847-12-10;--:--;141
1847-12-11;--:--;137
1847-12-12;--:--;137
1847-12-13;--:--;137
1847-12-14;--:--;137
1847-12-15;--:--;122
1847-12-16;--:--;122
1847-12-17;--:--;122
1847-12-18;--:--;122
1847-12-19;--:--;122
1847-12-20;--:--;122
1847-12-21;--:--;122
1847-12-22;--:--;122
1847-12-23;--:--;122
1847-12-24;--:--;116
1847-12-25;--:--;116
1847-12-26;--:--;116
1847-12-27;--:--;116
1847-12-28;--:--;116
1847-12-29;--:--;113
1847-12-30;--:--;113
1847-12-31;--:--;113
1848-01-01;--:--;113
1848-01-02;--:--;113
1848-01-03;--:--;113
1848-01-04;--:--;113
1848-01-05;--:--;113
1848-01-06;--:--;113
1848-01-07;--:--;113
1848-01-08;--:--;113
1848-01-09;--:--;113
1848-01-10;--:--;113
1848-01-11;--:--;113
1848-01-12;--:--;113
1848-01-13;--:--;113
1848-01-14;--:--;113
1848-01-15;--:--;113
1848-01-16;--:--;113
1848-01-17;--:--;113
1848-01-18;--:--;113
1848-01-19;--:--;113
1848-01-20;--:--;113
1848-01-21;--:--;113
1848-01-22;--:--;113
1848-01-23;--:--;113
1848-01-24;--:--;113
1848-01-25;--:--;113
1848-01-26;--:--;113
1848-01-27;--:--;113
1848-01-28;--:--;113
1848-01-29;--:--;113
1848-01-30;--:--;113
1848-01-31;--:--;113
1848-02-01;--:--;113
1848-02-02;--:--;113
1848-02-03;--:--;113
1848-02-04;--:--;113
1848-02-05;--:--;113
1848-02-06;--:--;113
1848-02-07;--:--;113
1848-02-08;--:--;113
1848-02-09;--:--;113
1848-02-10;--:--;171
1848-02-11;--:--;171
1848-02-12;--:--;146
1848-02-13;--:--;122
1848-02-14;--:--;120
1848-02-15;--:--;113
1848-02-16;--:--;113
1848-02-17;--:--;109
1848-02-18;--:--;104
1848-02-19;--:--;104
1848-02-20;--:--;104
1848-02-21;--:--;104
1848-02-22;--:--;104
1848-02-23;--:--;104
1848-02-24;--:--;104
1848-02-25;--:--;104
1848-02-26;--:--;104
1848-02-27;--:--;102
1848-02-28;--:--;104
1848-02-29;--:--;107
1848-03-01;--:--;104
1848-03-02;--:--;104
1848-03-03;--:--;104
1848-03-04;--:--;113
1848-03-05;--:--;116
1848-03-06;--:--;122
1848-03-07;--:--;122
1848-03-08;--:--;122
1848-03-09;--:--;122
1848-03-10;--:--;146
1848-03-11;--:--;113
1848-03-12;--:--;122
1848-03-13;--:--;122
1848-03-14;--:--;133
1848-03-15;--:--;122
1848-03-16;--:--;122
1848-03-17;--:--;122
1848-03-18;--:--;122
1848-03-19;--:--;122
1848-03-20;--:--;122
1848-03-21;--:--;122
1848-03-22;--:--;122
1848-03-23;--:--;122
1848-03-24;--:--;133
1848-03-25;--:--;146
1848-03-26;--:--;154
1848-03-27;--:--;171
1848-03-28;--:--;158
1848-03-29;--:--;146
1848-03-30;--:--;146
1848-03-31;--:--;146
1848-04-01;--:--;122
1848-04-02;--:--;146
1848-04-03;--:--;216
1848-04-04;--:--;171
1848-04-05;--:--;263
1848-04-06;--:--;238
1848-04-07;--:--;234
1848-04-08;--:--;227
1848-04-09;--:--;216
1848-04-10;--:--;205
1848-04-11;--:--;201
1848-04-12;--:--;180
1848-04-13;--:--;167
1848-04-14;--:--;162
1848-04-15;--:--;158
1848-04-16;--:--;158
1848-04-17;--:--;158
1848-04-18;--:--;158
1848-04-19;--:--;158
1848-04-20;--:--;171
1848-04-21;--:--;171
1848-04-22;--:--;234
1848-04-23;--:--;234
1848-04-24;--:--;171
1848-04-25;--:--;171
1848-04-26;--:--;171
1848-04-27;--:--;171
1848-04-28;--:--;171
1848-04-29;--:--;171
1848-04-30;--:--;171
1848-05-01;--:--;171
1848-05-02;--:--;216
1848-05-03;--:--;234
1848-05-04;--:--;268
1848-05-05;--:--;234
1848-05-06;--:--;196
1848-05-07;--:--;180
1848-05-08;--:--;180
1848-05-09;--:--;171
1848-05-10;--:--;171
1848-05-11;--:--;171
1848-05-12;--:--;171
1848-05-13;--:--;216
1848-05-14;--:--;234
1848-05-15;--:--;286
1848-05-16;--:--;307
1848-05-17;--:--;347
1848-05-18;--:--;332
1848-05-19;--:--;320
1848-05-20;--:--;307
1848-05-21;--:--;307
1848-05-22;--:--;281
1848-05-23;--:--;263
1848-05-24;--:--;234
1848-05-25;--:--;234
1848-05-26;--:--;234
1848-05-27;--:--;255
1848-05-28;--:--;307
1848-05-29;--:--;347
1848-05-30;--:--;362
1848-05-31;--:--;392
1848-06-01;--:--;423
1848-06-02;--:--;392
1848-06-03;--:--;362
1848-06-04;--:--;347
1848-06-05;--:--;439
1848-06-06;--:--;392
1848-06-07;--:--;814
1848-06-08;--:--;640
1848-06-09;--:--;941
1848-06-10;--:--;753
1848-06-11;--:--;734
1848-06-12;--:--;694
1848-06-13;--:--;640
1848-06-14;--:--;726
1848-06-15;--:--;614
1848-06-16;--:--;585
1848-06-17;--:--;517
1848-06-18;--:--;941
1848-06-19;--:--;745
1848-06-20;--:--;667
1848-06-21;--:--;560
1848-06-22;--:--;667
1848-06-23;--:--;552
1848-06-24;--:--;507
1848-06-25;--:--;507
1848-06-26;--:--;507
1848-06-27;--:--;484
1848-06-28;--:--;484
1848-06-29;--:--;484
1848-06-30;--:--;461
1848-07-01;--:--;500
1848-07-02;--:--;1230
1848-07-03;--:--;734
1848-07-04;--:--;640
1848-07-05;--:--;535
1848-07-06;--:--;507
1848-07-07;--:--;500
1848-07-08;--:--;500
1848-07-09;--:--;500
1848-07-10;--:--;714
1848-07-11;--:--;973
1848-07-12;--:--;941
1848-07-13;--:--;844
1848-07-14;--:--;714
1848-07-15;--:--;694
1848-07-16;--:--;603
1848-07-17;--:--;640
1848-07-18;--:--;560
1848-07-19;--:--;507
1848-07-20;--:--;507
1848-07-21;--:--;507
1848-07-22;--:--;507
1848-07-23;--:--;621
1848-07-24;--:--;585
1848-07-25;--:--;621
1848-07-26;--:--;640
1848-07-27;--:--;585
1848-07-28;--:--;585
1848-07-29;--:--;494
1848-07-30;--:--;640
1848-07-31;--:--;694
1848-08-01;--:--;614
1848-08-02;--:--;614
1848-08-03;--:--;614
1848-08-04;--:--;667
1848-08-05;--:--;941
1848-08-06;--:--;753
1848-08-07;--:--;585
1848-08-08;--:--;560
1848-08-09;--:--;552
1848-08-10;--:--;753
1848-08-11;--:--;640
1848-08-12;--:--;578
1848-08-13;--:--;560
1848-08-14;--:--;507
1848-08-15;--:--;494
1848-08-16;--:--;484
1848-08-17;--:--;714
1848-08-18;--:--;614
1848-08-19;--:--;596
1848-08-20;--:--;614
1848-08-21;--:--;535
1848-08-22;--:--;507
1848-08-23;--:--;560
1848-08-24;--:--;734
1848-08-25;--:--;694
1848-08-26;--:--;484
1848-08-27;--:--;484
1848-08-28;--:--;468
1848-08-29;--:--;439
1848-08-30;--:--;439
1848-08-31;--:--;423
1848-09-01;--:--;439
1848-09-02;--:--;392
1848-09-03;--:--;392
1848-09-04;--:--;383
1848-09-05;--:--;371
1848-09-06;--:--;371
1848-09-07;--:--;355
1848-09-08;--:--;347
1848-09-09;--:--;383
1848-09-10;--:--;392
1848-09-11;--:--;377
1848-09-12;--:--;371
1848-09-13;--:--;320
1848-09-14;--:--;320
1848-09-15;--:--;320
1848-09-16;--:--;320
1848-09-17;--:--;307
1848-09-18;--:--;268
1848-09-19;--:--;255
1848-09-20;--:--;255
1848-09-21;--:--;243
1848-09-22;--:--;243
1848-09-23;--:--;243
1848-09-24;--:--;281
1848-09-25;--:--;392
1848-09-26;--:--;392
1848-09-27;--:--;392
1848-09-28;--:--;392
1848-09-29;--:--;392
1848-09-30;--:--;414
1848-10-01;--:--;268
1848-10-02;--:--;234
1848-10-03;--:--;392
1848-10-04;--:--;347
1848-10-05;--:--;377
1848-10-06;--:--;377
1848-10-07;--:--;377
1848-10-08;--:--;250
1848-10-09;--:--;268
1848-10-10;--:--;268
1848-10-11;--:--;250
1848-10-12;--:--;234
1848-10-13;--:--;234
1848-10-14;--:--;234
1848-10-15;--:--;234
1848-10-16;--:--;234
1848-10-17;--:--;234
1848-10-18;--:--;234
1848-10-19;--:--;234
1848-10-20;--:--;234
1848-10-21;--:--;234
1848-10-22;--:--;234
1848-10-23;--:--;234
1848-10-24;--:--;234
1848-10-25;--:--;234
1848-10-26;--:--;201
1848-10-27;--:--;201
1848-10-28;--:--;201
1848-10-29;--:--;171
1848-10-30;--:--;171
1848-10-31;--:--;171
1848-11-01;--:--;162
1848-11-02;--:--;162
1848-11-03;--:--;158
1848-11-04;--:--;154
1848-11-05;--:--;158
1848-11-06;--:--;158
1848-11-07;--:--;154
1848-11-08;--:--;154
1848-11-09;--:--;154
1848-11-10;--:--;154
1848-11-11;--:--;154
1848-11-12;--:--;154
1848-11-13;--:--;154
1848-11-14;--:--;154
1848-11-15;--:--;154
1848-11-16;--:--;154
1848-11-17;--:--;154
1848-11-18;--:--;154
1848-11-19;--:--;154
1848-11-20;--:--;154
1848-11-21;--:--;154
1848-11-22;--:--;154
1848-11-23;--:--;154
1848-11-24;--:--;154
1848-11-25;--:--;154
1848-11-26;--:--;154
1848-11-27;--:--;154
1848-11-28;--:--;146
1848-11-29;--:--;146
1848-11-30;--:--;146
1848-12-01;--:--;141
1848-12-02;--:--;137
1848-12-03;--:--;133
1848-12-04;--:--;133
1848-12-05;--:--;133
1848-12-06;--:--;133
1848-12-07;--:--;133
1848-12-08;--:--;133
1848-12-09;--:--;133
1848-12-10;--:--;133
1848-12-11;--:--;133
1848-12-12;--:--;133
1848-12-13;--:--;130
1848-12-14;--:--;122
1848-12-15;--:--;122
1848-12-16;--:--;122
1848-12-17;--:--;122
1848-12-18;--:--;122
1848-12-19;--:--;113
1848-12-20;--:--;109
1848-12-21;--:--;107
1848-12-22;--:--;107
1848-12-23;--:--;102
1848-12-24;--:--;102
1848-12-25;--:--;102
1848-12-26;--:--;102
1848-12-27;--:--;102
1848-12-28;--:--;102
1848-12-29;--:--;102
1848-12-30;--:--;102
1848-12-31;--:--;102
1849-01-01;--:--;102
1849-01-02;--:--;102
1849-01-03;--:--;102
1849-01-04;--:--;102
1849-01-05;--:--;102
1849-01-06;--:--;102
1849-01-07;--:--;102
1849-01-08;--:--;102
1849-01-09;--:--;102
1849-01-10;--:--;102
1849-01-11;--:--;102
1849-01-12;--:--;102
1849-01-13;--:--;102
1849-01-14;--:--;429
1849-01-15;--:--;585
1849-01-16;--:--;243
1849-01-17;--:--;227
1849-01-18;--:--;171
1849-01-19;--:--;167
1849-01-20;--:--;162
1849-01-21;--:--;154
1849-01-22;--:--;122
1849-01-23;--:--;116
1849-01-24;--:--;116
1849-01-25;--:--;116
1849-01-26;--:--;120
1849-01-27;--:--;120
1849-01-28;--:--;116
1849-01-29;--:--;116
1849-01-30;--:--;116
1849-01-31;--:--;116
1849-02-01;--:--;109
1849-02-02;--:--;109
1849-02-03;--:--;104
1849-02-04;--:--;104
1849-02-05;--:--;146
1849-02-06;--:--;133
1849-02-07;--:--;113
1849-02-08;--:--;113
1849-02-09;--:--;113
1849-02-10;--:--;113
1849-02-11;--:--;113
1849-02-12;--:--;113
1849-02-13;--:--;113
1849-02-14;--:--;113
1849-02-15;--:--;116
1849-02-16;--:--;133
1849-02-17;--:--;122
1849-02-18;--:--;133
1849-02-19;--:--;122
1849-02-20;--:--;122
1849-02-21;--:--;146
1849-02-22;--:--;171
1849-02-23;--:--;171
1849-02-24;--:--;171
1849-02-25;--:--;158
1849-02-26;--:--;158
1849-02-27;--:--;154
1849-02-28;--:--;154
1849-03-01;--:--;154
1849-03-02;--:--;154
1849-03-03;--:--;154
1849-03-04;--:--;154
1849-03-05;--:--;158
1849-03-06;--:--;171
1849-03-07;--:--;171
1849-03-08;--:--;171
1849-03-09;--:--;171
1849-03-10;--:--;158
1849-03-11;--:--;158
1849-03-12;--:--;158
1849-03-13;--:--;180
1849-03-14;--:--;171
1849-03-15;--:--;171
1849-03-16;--:--;167
1849-03-17;--:--;167
1849-03-18;--:--;171
1849-03-19;--:--;171
1849-03-20;--:--;162
1849-03-21;--:--;162
1849-03-22;--:--;162
1849-03-23;--:--;171
1849-03-24;--:--;171
1849-03-25;--:--;171
1849-03-26;--:--;222
1849-03-27;--:--;162
1849-03-28;--:--;171
1849-03-29;--:--;162
1849-03-30;--:--;162
1849-03-31;--:--;162
1849-04-01;--:--;171
1849-04-02;--:--;171
1849-04-03;--:--;201
1849-04-04;--:--;211
1849-04-05;--:--;234
1849-04-06;--:--;222
1849-04-07;--:--;171
1849-04-08;--:--;171
1849-04-09;--:--;171
1849-04-10;--:--;286
1849-04-11;--:--;268
1849-04-12;--:--;286
1849-04-13;--:--;286
1849-04-14;--:--;286
1849-04-15;--:--;307
1849-04-16;--:--;307
1849-04-17;--:--;307
1849-04-18;--:--;268
1849-04-19;--:--;268
1849-04-20;--:--;234
1849-04-21;--:--;234
1849-04-22;--:--;234
1849-04-23;--:--;234
1849-04-24;--:--;234
1849-04-25;--:--;234
1849-04-26;--:--;255
1849-04-27;--:--;216
1849-04-28;--:--;234
1849-04-29;--:--;243
1849-04-30;--:--;263
1849-05-01;--:--;234
1849-05-02;--:--;234
1849-05-03;--:--;293
1849-05-04;--:--;307
1849-05-05;--:--;307
1849-05-06;--:--;307
1849-05-07;--:--;392
1849-05-08;--:--;452
1849-05-09;--:--;439
1849-05-10;--:--;439
1849-05-11;--:--;392
1849-05-12;--:--;392
1849-05-13;--:--;484
1849-05-14;--:--;439
1849-05-15;--:--;439
1849-05-16;--:--;414
1849-05-17;--:--;392
1849-05-18;--:--;535
1849-05-19;--:--;507
1849-05-20;--:--;484
1849-05-21;--:--;439
1849-05-22;--:--;439
1849-05-23;--:--;439
1849-05-24;--:--;461
1849-05-25;--:--;461
1849-05-26;--:--;477
1849-05-27;--:--;500
1849-05-28;--:--;585
1849-05-29;--:--;726
1849-05-30;--:--;726
1849-05-31;--:--;753
1849-06-01;--:--;753
1849-06-02;--:--;814
1849-06-03;--:--;814
1849-06-04;--:--;865
1849-06-05;--:--;941
1849-06-06;--:--;1040
1849-06-07;--:--;1080
1849-06-08;--:--;1180
1849-06-09;--:--;1180
1849-06-10;--:--;1230
1849-06-11;--:--;1230
1849-06-12;--:--;1110
1849-06-13;--:--;1230
1849-06-14;--:--;1190
1849-06-15;--:--;1160
1849-06-16;--:--;1080
1849-06-17;--:--;1230
1849-06-18;--:--;1400
1849-06-19;--:--;1590
1849-06-20;--:--;1080
1849-06-21;--:--;896
1849-06-22;--:--;814
1849-06-23;--:--;814
1849-06-24;--:--;865
1849-06-25;--:--;1010
1849-06-26;--:--;1030
1849-06-27;--:--;1110
1849-06-28;--:--;1160
1849-06-29;--:--;941
1849-06-30;--:--;918
1849-07-01;--:--;753
1849-07-02;--:--;694
1849-07-03;--:--;667
1849-07-04;--:--;640
1849-07-05;--:--;686
1849-07-06;--:--;874
1849-07-07;--:--;694
1849-07-08;--:--;694
1849-07-09;--:--;874
1849-07-10;--:--;694
1849-07-11;--:--;874
1849-07-12;--:--;844
1849-07-13;--:--;706
1849-07-14;--:--;614
1849-07-15;--:--;585
1849-07-16;--:--;517
1849-07-17;--:--;484
1849-07-18;--:--;461
1849-07-19;--:--;414
1849-07-20;--:--;484
1849-07-21;--:--;507
1849-07-22;--:--;484
1849-07-23;--:--;585
1849-07-24;--:--;484
1849-07-25;--:--;461
1849-07-26;--:--;484
1849-07-27;--:--;477
1849-07-28;--:--;461
1849-07-29;--:--;452
1849-07-30;--:--;452
1849-07-31;--:--;452
1849-08-01;--:--;567
1849-08-02;--:--;585
1849-08-03;--:--;461
1849-08-04;--:--;461
1849-08-05;--:--;452
1849-08-06;--:--;461
1849-08-07;--:--;694
1849-08-08;--:--;535
1849-08-09;--:--;535
1849-08-10;--:--;439
1849-08-11;--:--;585
1849-08-12;--:--;507
1849-08-13;--:--;484
1849-08-14;--:--;484
1849-08-15;--:--;585
1849-08-16;--:--;484
1849-08-17;--:--;484
1849-08-18;--:--;484
1849-08-19;--:--;484
1849-08-20;--:--;918
1849-08-21;--:--;745
1849-08-22;--:--;524
1849-08-23;--:--;484
1849-08-24;--:--;468
1849-08-25;--:--;452
1849-08-26;--:--;452
1849-08-27;--:--;452
1849-08-28;--:--;452
1849-08-29;--:--;392
1849-08-30;--:--;392
1849-08-31;--:--;392
1849-09-01;--:--;392
1849-09-02;--:--;392
1849-09-03;--:--;392
1849-09-04;--:--;392
1849-09-05;--:--;392
1849-09-06;--:--;392
1849-09-07;--:--;392
1849-09-08;--:--;392
1849-09-09;--:--;392
1849-09-10;--:--;392
1849-09-11;--:--;392
1849-09-12;--:--;377
1849-09-13;--:--;371
1849-09-14;--:--;371
1849-09-15;--:--;371
1849-09-16;--:--;371
1849-09-17;--:--;371
1849-09-18;--:--;392
1849-09-19;--:--;307
1849-09-20;--:--;286
1849-09-21;--:--;268
1849-09-22;--:--;263
1849-09-23;--:--;263
1849-09-24;--:--;250
1849-09-25;--:--;250
1849-09-26;--:--;243
1849-09-27;--:--;243
1849-09-28;--:--;234
1849-09-29;--:--;250
1849-09-30;--:--;234
1849-10-01;--:--;216
1849-10-02;--:--;211
1849-10-03;--:--;234
1849-10-04;--:--;238
1849-10-05;--:--;250
1849-10-06;--:--;250
1849-10-07;--:--;263
1849-10-08;--:--;307
1849-10-09;--:--;286
1849-10-10;--:--;281
1849-10-11;--:--;281
1849-10-12;--:--;268
1849-10-13;--:--;268
1849-10-14;--:--;268
1849-10-15;--:--;268
1849-10-16;--:--;268
1849-10-17;--:--;307
1849-10-18;--:--;320
1849-10-19;--:--;286
1849-10-20;--:--;307
1849-10-21;--:--;307
1849-10-22;--:--;281
1849-10-23;--:--;268
1849-10-24;--:--;307
1849-10-25;--:--;307
1849-10-26;--:--;307
1849-10-27;--:--;307
1849-10-28;--:--;307
1849-10-29;--:--;307
1849-10-30;--:--;312
1849-10-31;--:--;307
1849-11-01;--:--;255
1849-11-02;--:--;255
1849-11-03;--:--;255
1849-11-04;--:--;255
1849-11-05;--:--;243
1849-11-06;--:--;243
1849-11-07;--:--;201
1849-11-08;--:--;201
1849-11-09;--:--;201
1849-11-10;--:--;201
1849-11-11;--:--;201
1849-11-12;--:--;201
1849-11-13;--:--;201
1849-11-14;--:--;171
1849-11-15;--:--;154
1849-11-16;--:--;146
1849-11-17;--:--;146
1849-11-18;--:--;141
1849-11-19;--:--;137
1849-11-20;--:--;137
1849-11-21;--:--;137
1849-11-22;--:--;130
1849-11-23;--:--;130
1849-11-24;--:--;122
1849-11-25;--:--;122
1849-11-26;--:--;171
1849-11-27;--:--;177
1849-11-28;--:--;171
1849-11-29;--:--;146
1849-11-30;--:--;133
1849-12-01;--:--;133
1849-12-02;--:--;133
1849-12-03;--:--;130
1849-12-04;--:--;130
1849-12-05;--:--;130
1849-12-06;--:--;130
1849-12-07;--:--;130
1849-12-08;--:--;130
1849-12-09;--:--;130
1849-12-10;--:--;130
1849-12-11;--:--;130
1849-12-12;--:--;130
1849-12-13;--:--;130
1849-12-14;--:--;130
1849-12-15;--:--;130
1849-12-16;--:--;130
1849-12-17;--:--;234
1849-12-18;--:--;414
1849-12-19;--:--;268
1849-12-20;--:--;177
1849-12-21;--:--;211
1849-12-22;--:--;190
1849-12-23;--:--;171
1849-12-24;--:--;171
1849-12-25;--:--;171
1849-12-26;--:--;171
1849-12-27;--:--;162
1849-12-28;--:--;162
1849-12-29;--:--;162
1849-12-30;--:--;154
1849-12-31;--:--;154
1850-01-01;--:--;146
1850-01-02;--:--;146
1850-01-03;--:--;146
1850-01-04;--:--;146
1850-01-05;--:--;133
1850-01-06;--:--;133
1850-01-07;--:--;130
1850-01-08;--:--;130
1850-01-09;--:--;130
1850-01-10;--:--;130
1850-01-11;--:--;130
1850-01-12;--:--;130
1850-01-13;--:--;130
1850-01-14;--:--;130
1850-01-15;--:--;130
1850-01-16;--:--;130
1850-01-17;--:--;130
1850-01-18;--:--;130
1850-01-19;--:--;130
1850-01-20;--:--;130
1850-01-21;--:--;130
1850-01-22;--:--;130
1850-01-23;--:--;130
1850-01-24;--:--;130
1850-01-25;--:--;130
1850-01-26;--:--;130
1850-01-27;--:--;130
1850-01-28;--:--;130
1850-01-29;--:--;180
1850-01-30;--:--;180
1850-01-31;--:--;171
1850-02-01;--:--;171
1850-02-02;--:--;585
1850-02-03;--:--;694
1850-02-04;--:--;392
1850-02-05;--:--;307
1850-02-06;--:--;234
1850-02-07;--:--;234
1850-02-08;--:--;234
1850-02-09;--:--;234
1850-02-10;--:--;234
1850-02-11;--:--;234
1850-02-12;--:--;234
1850-02-13;--:--;234
1850-02-14;--:--;234
1850-02-15;--:--;216
1850-02-16;--:--;211
1850-02-17;--:--;201
1850-02-18;--:--;201
1850-02-19;--:--;201
1850-02-20;--:--;201
1850-02-21;--:--;201
1850-02-22;--:--;201
1850-02-23;--:--;268
1850-02-24;--:--;362
1850-02-25;--:--;307
1850-02-26;--:--;307
1850-02-27;--:--;234
1850-02-28;--:--;234
1850-03-01;--:--;234
1850-03-02;--:--;234
1850-03-03;--:--;234
1850-03-04;--:--;234
1850-03-05;--:--;234
1850-03-06;--:--;234
1850-03-07;--:--;234
1850-03-08;--:--;234
1850-03-09;--:--;234
1850-03-10;--:--;234
1850-03-11;--:--;234
1850-03-12;--:--;234
1850-03-13;--:--;222
1850-03-14;--:--;222
1850-03-15;--:--;216
1850-03-16;--:--;216
1850-03-17;--:--;201
1850-03-18;--:--;190
1850-03-19;--:--;190
1850-03-20;--:--;190
1850-03-21;--:--;190
1850-03-22;--:--;186
1850-03-23;--:--;201
1850-03-24;--:--;171
1850-03-25;--:--;171
1850-03-26;--:--;171
1850-03-27;--:--;171
1850-03-28;--:--;167
1850-03-29;--:--;171
1850-03-30;--:--;171
1850-03-31;--:--;171
1850-04-01;--:--;130
1850-04-02;--:--;201
1850-04-03;--:--;201
1850-04-04;--:--;234
1850-04-05;--:--;250
1850-04-06;--:--;250
1850-04-07;--:--;268
1850-04-08;--:--;286
1850-04-09;--:--;307
1850-04-10;--:--;371
1850-04-11;--:--;347
1850-04-12;--:--;332
1850-04-13;--:--;326
1850-04-14;--:--;326
1850-04-15;--:--;320
1850-04-16;--:--;307
1850-04-17;--:--;347
1850-04-18;--:--;347
1850-04-19;--:--;362
1850-04-20;--:--;377
1850-04-21;--:--;392
1850-04-22;--:--;392
1850-04-23;--:--;408
1850-04-24;--:--;392
1850-04-25;--:--;377
1850-04-26;--:--;362
1850-04-27;--:--;307
1850-04-28;--:--;307
